"Level";"Place0";"Place1";"Place2";"Longitude";"Latitude";"Zoom";"Icon"
2;"Switzerland";"Zürich (ZH)";"Guntalingen";"E8.76919";"N47.63467";;
2;"Switzerland";"Zürich (ZH)";"Unterstammheim";"E8.79232";"N47.64083";;
2;"Switzerland";"Zürich (ZH)";"Oberstammheim";"E8.80114";"N47.63401";;
2;"Switzerland";"Zürich (ZH)";"Wilen b. Neunforn";"E8.79717";"N47.60257";;
2;"Switzerland";"Zürich (ZH)";"Au ZH";"E8.64297";"N47.24699";;
2;"Switzerland";"Zürich (ZH)";"Wädenswil";"E8.67174";"N47.22847";;
2;"Switzerland";"Zürich (ZH)";"Schönenberg ZH";"E8.64504";"N47.19290";;
2;"Switzerland";"Zürich (ZH)";"Hütten";"E8.66901";"N47.17565";;
2;"Switzerland";"Zürich (ZH)";"Elgg";"E8.86757";"N47.49018";;
2;"Switzerland";"Zürich (ZH)";"Hofstetten ZH";"E8.85371";"N47.47310";;
2;"Switzerland";"Zürich (ZH)";"Dickbuch";"E8.83165";"N47.49639";;
2;"Switzerland";"Zürich (ZH)";"Sihlbrugg Station";"E8.57720";"N47.23919";;
2;"Switzerland";"Zürich (ZH)";"Sihlwald";"E8.55751";"N47.26828";;
2;"Switzerland";"Zürich (ZH)";"Horgen";"E8.59738";"N47.25952";;
2;"Switzerland";"Zürich (ZH)";"Horgenberg";"E8.58389";"N47.24786";;
2;"Switzerland";"Zürich (ZH)";"Hirzel";"E8.60666";"N47.21702";;
2;"Switzerland";"Zürich (ZH)";"Effretikon";"E8.68948";"N47.42815";;
2;"Switzerland";"Zürich (ZH)";"Ottikon b. Kemptthal";"E8.71687";"N47.43468";;
2;"Switzerland";"Zürich (ZH)";"Illnau";"E8.72262";"N47.40895";;
2;"Switzerland";"Zürich (ZH)";"Agasul";"E8.74332";"N47.42518";;
2;"Switzerland";"Zürich (ZH)";"Kyburg";"E8.74469";"N47.45778";;
2;"Switzerland";"Zürich (ZH)";"Saland";"E8.85348";"N47.39111";;
2;"Switzerland";"Zürich (ZH)";"Bauma";"E8.87724";"N47.36728";;
2;"Switzerland";"Zürich (ZH)";"Sternenberg";"E8.91175";"N47.38730";;
2;"Switzerland";"Zürich (ZH)";"Wiesendangen";"E8.78951";"N47.52126";;
2;"Switzerland";"Zürich (ZH)";"Bertschikon";"E8.81450";"N47.52680";;
2;"Switzerland";"Zürich (ZH)";"Gundetswil";"E8.82233";"N47.53984";;
2;"Switzerland";"Zürich (ZH)";"Kefikon ZH";"E8.83101";"N47.54889";;
2;"Switzerland";"Zürich (ZH)";"Attikon";"E8.79796";"N47.53587";;
2;"Switzerland";"Zürich (ZH)";"Menzengrüt";"E8.82185";"N47.54964";;
2;"Switzerland";"Bern (BE)";"Aarberg";"E7.27529";"N47.04354";;
2;"Switzerland";"Bern (BE)";"Bargen BE";"E7.25730";"N47.04015";;
2;"Switzerland";"Bern (BE)";"Grossaffoltern";"E7.35883";"N47.06573";;
2;"Switzerland";"Bern (BE)";"Ammerzwil BE";"E7.34147";"N47.07155";;
2;"Switzerland";"Bern (BE)";"Suberg";"E7.33886";"N47.05929";;
2;"Switzerland";"Bern (BE)";"Golaten";"E7.24226";"N46.98570";;
2;"Switzerland";"Bern (BE)";"Kallnach";"E7.22997";"N47.01780";;
2;"Switzerland";"Bern (BE)";"Niederried b. Kallnach";"E7.25238";"N47.01054";;
2;"Switzerland";"Bern (BE)";"Kappelen";"E7.26758";"N47.06019";;
2;"Switzerland";"Bern (BE)";"Lyss";"E7.30750";"N47.07058";;
2;"Switzerland";"Bern (BE)";"Busswil BE";"E7.32243";"N47.10059";;
2;"Switzerland";"Bern (BE)";"Ortschwaben";"E7.40189";"N46.99058";;
2;"Switzerland";"Bern (BE)";"Meikirch";"E7.36264";"N47.00934";;
2;"Switzerland";"Bern (BE)";"Wahlendorf";"E7.33783";"N47.00771";;
2;"Switzerland";"Bern (BE)";"Detligen";"E7.27278";"N47.00173";;
